mortality_rate,T2M,O3
1.522,286.978,53.741
1.249,283.384,52.503
1.132,286.232,52.575
1.522,286.543,54.77
1.366,287.254,59.895
1.21,287.385,46.326
1.561,287.004,41.344
1.522,287.608,47.324
1.327,286.876,49.687
1.366,285.289,44.999
1.093,285.756,46.921
1.678,287.783,51.153
1.366,288.345,49.573
1.522,287.308,40.211
1.366,289.12,38.813
1.483,290.722,38.964
1.6,291.328,56.615
1.327,287.858,53.833
1.405,285.889,52.391
1.327,286.671,46.593
1.288,287.349,47.464
1.171,287.896,42.241
1.288,288.805,45.377
1.444,286.895,51.06
1.678,286.268,45.486
1.171,286.625,31.496
1.366,287.143,51.841
1.561,285.155,48.365
1.132,285.658,53.303
1.171,286.448,35.484
1.249,286.057,44.833
1.913,285.663,52.577
1.561,287.257,59.004
1.444,287.613,62.796
1.522,287.107,50.388
1.678,288.805,39.43
1.21,289.15,35.084
1.015,287.019,48.172
1.405,286.385,40.353
1.171,285.54,37.618
1.093,285.606,43.537
1.522,287.998,40.075
1.405,288.044,46.694
1.444,287.82,43.44
1.249,287.4,43.224
1.054,284.733,45.509
1.288,284.749,44.273
1.717,289.327,37.065
1.288,289.2,33.718
1.327,288.244,37.959
1.6,287.993,41.284
1.366,287.225,39.47
1.366,286.489,46.899
1.678,286.043,38.501
1.171,287.891,45.801
1.21,287.525,46.767
1.444,285.819,51.417
1.327,285.047,43.532
1.405,287.312,49.566
1.522,282.259,47.323
1.795,280.945,46.711
1.717,286.072,45.808
1.522,285.59,47.57
1.561,284.552,45
1.522,285.832,46.351
1.991,287.88,48.506
1.639,284.771,48.371
1.327,283.266,43.922
0.937,280.388,53.076
0.898,281.763,53.112
1.717,283.397,48.012
1.093,283.443,47.973
0.976,282.589,39.434
1.444,283.334,35.6
1.6,283.605,40.558
1.327,284.776,39.504
1.327,284.534,47.145
1.678,283.251,32.839
1.288,284.273,33.084
1.288,284.597,41.714
1.522,282.901,42.329
1.405,284.525,26.487
1.249,284.41,39.844
1.405,286.483,34.692
1.639,287.617,30.339
1.132,287.636,27.973
1.327,286.077,43.467
1.288,285.087,45.788
1.561,283.966,51.037
1.444,281.295,54.765
1.639,280.023,38.809
1.405,280.85,42.846
1.834,280.793,27.933
1.522,280.05,29.534
1.483,280.82,22.635
1.483,280.016,16.425
1.366,280.31,35.149
2.108,281.674,41.465
1.756,282.266,27.276
0.898,285.649,40.98
1.756,284.476,54.278
1.171,280.327,53.439
1.366,281.436,48.808
1.483,285.043,44.169
1.483,286.122,43.764
1.639,285.412,42.974
1.21,283.096,47.976
1.288,280.498,38.647
1.952,281.498,51.745
1.561,280.834,62.96
1.21,283.677,60.713
1.288,280.605,63.718
1.874,278.156,69.759
1.288,282.455,56.509
1.678,279.063,60.83
1.639,275.483,44.031
1.483,279.274,48.79
1.834,278.712,32.271
1.249,276.466,23.274
1.21,279.459,22.193
1.678,280.293,41.526
1.639,277.375,37.616
1.874,278.679,31.409
1.405,279.756,31.93
1.795,281.035,16.623
1.561,278.518,41.055
1.874,274.533,46.762
1.522,278.645,55.386
1.913,277.771,50.717
1.991,276.753,37.406
1.6,279.857,39.575
1.717,281.864,47.294
1.405,278.728,53.786
1.913,283.155,51.247
1.483,278.583,57.261
1.756,279.282,47.374
1.756,277.332,50.387
1.834,281.144,47.629
1.952,282.823,56.239
2.069,282.29,52.627
2.069,278.542,57.052
1.874,277.134,49.944
1.717,277.616,47.025
1.952,276.081,45.927
1.561,275.128,30.868
1.522,276.196,18.295
1.522,275.384,15.669
1.6,273.676,13.137
1.249,273.9,14.975
1.913,272.985,15.677
1.561,273.894,23.937
1.483,275.799,27.551
1.717,275.926,23.664
1.678,274.164,8.868
1.678,273.277,7.47
2.03,274.274,24.848
1.874,274.382,39.043
2.108,278.874,37.454
1.874,276.035,40.761
2.225,278.844,45.121
2.381,282.077,52.915
1.639,282.527,52.543
2.225,277.204,44.58
1.327,276.573,26.661
1.913,279.282,28.5
1.963,279.001,46.363
1.891,282.204,49.84
1.674,280.649,52.237
1.818,280.997,46.662
1.703,279.384,44.603
1.746,282.008,57.264
1.876,280.526,51.003
1.919,282.608,57.57
1.977,278.909,50.54
1.79,281.231,55.893
1.919,282.662,56.057
1.919,281.663,56.605
1.645,279.246,52.817
2.194,281.018,55.008
1.948,279.032,32.544
1.746,278.745,51.729
1.862,280.568,50.634
1.934,281.499,51.589
1.703,279.519,49.782
1.804,276.392,46.68
1.818,275.327,37.613
1.818,273.016,33.799
1.79,275.586,41.552
1.804,274.004,32.756
1.804,278.092,45.79
1.948,279.011,47.476
1.544,280.321,54.283
1.992,279.956,47.763
2.006,277.874,47.583
1.458,281.247,46.238
1.977,281.399,32.382
1.53,279.364,40.038
1.414,274.762,24.241
1.688,274.298,20.124
1.876,274.252,26.614
1.775,272.413,24.854
2.121,272.149,21.986
1.934,273.293,22.141
2.179,273.097,25.96
2.107,276.089,23.399
2.121,278.556,45.049
2.107,278.751,47.372
2.049,278.801,49.128
2.309,278.117,47.446
1.977,280.877,47.018
1.818,279.873,29.255
1.919,278.728,24.25
1.53,277.082,28.817
1.891,279.726,23.475
2.251,280.985,39.174
2.006,279.479,39.349
1.761,280.961,46.462
1.862,280.893,46.181
1.833,280.418,41.031
1.847,279.609,44.948
1.977,277.8,58.339
2.049,280.524,46.584
2.02,279.948,64.188
1.631,278.169,66.285
1.891,278.087,45.08
1.79,279.165,51.804
1.746,278.986,46.807
1.804,279.93,74.566
2.049,280.811,73.216
1.573,279.279,60.83
1.876,279.316,60.081
1.66,279.085,66.789
1.818,281.874,64.975
1.559,282.754,66.895
1.602,281.443,60.501
1.645,279.867,55.499
1.732,280.701,50.878
1.544,280.318,60.617
1.818,279.231,63.95
1.818,282.231,64.335
1.559,275.964,77.397
1.963,275.82,63.81
1.717,274.903,73.312
1.616,275.261,63.072
1.414,280.006,43.804
1.472,279.461,51.636
1.804,278.378,49.142
1.674,281.295,55.838
1.775,281.011,53.695
1.631,281.827,46.024
1.472,280.16,46.84
1.732,279.468,62.265
1.602,280.552,64.173
1.616,281.342,74.752
1.746,280.941,77.125
1.559,281.285,77.364
1.573,279.477,55.641
1.602,280.288,49.113
1.472,281.578,46.963
1.501,281.11,57.198
1.775,281.365,61.9
1.703,282.69,64.348
1.847,282.598,63.279
1.559,283.812,60.611
1.198,283.67,54.41
1.79,283.996,52.495
1.948,284.099,39.535
1.4,286.455,56.453
1.443,286.793,72.062
1.472,284.833,65.899
1.573,282.318,71.515
1.486,281.45,72.5
1.559,282.99,63.68
1.891,282.705,49.58
1.674,285.614,68.12
1.313,285.524,70.082
1.804,285.555,47.928
1.486,286.188,53.157
1.544,285.75,63.124
1.53,284.517,58.424
1.414,283.895,60.925
1.515,284.863,64.629
1.414,285.325,66.942
1.703,284.684,67.923
1.342,285.663,72.041
1.573,284.72,66.126
1.357,283.765,63.021
1.703,283.436,60.387
1.616,284.795,62.496
1.414,284.789,67.268
1.631,284.06,56.616
1.486,283.58,58.852
1.515,283.539,52.294
1.241,283.817,60.925
1.515,282.56,58.431
1.443,284.016,62.303
1.443,283.199,52.291
1.299,282.013,73.161
1.761,283.395,58.608
1.66,282.424,47.783
1.645,287.101,34.78
1.299,285.57,58.467
1.515,284.258,68.276
1.371,283.782,61.791
1.688,285.145,61.952
1.486,285.061,61.488
1.472,287.146,45.803
1.486,288.144,46.679
1.299,284.013,65.298
1.501,282.621,60.75
1.342,280.836,60.892
1.256,281.606,64.423
1.328,282.006,60.46
1.27,283.446,54.847
1.256,285.828,51.008
1.486,287.467,56.858
1.515,289.704,63.495
1.371,288.875,47.857
1.645,288.44,63.806
1.429,287.201,70.009
1.198,286.56,69.721
1.342,287.338,61.571
1.429,289.541,73.666
1.342,290.585,78.824
1.674,290.545,83.358
1.328,291.362,83.844
1.53,289.542,81.292
1.328,287.598,53.608
1.328,285.21,54.272
1.429,285.504,60.672
1.53,286.221,63.878
1.414,287.233,58.53
1.472,287.606,50.151
1.587,289.658,53.77
1.4,288.881,60.963
1.126,287.606,50.049
1.227,287.173,47.047
1.4,287.024,62.758
1.472,285.621,53.803
1.126,284.994,58.333
1.559,284.452,48.82
1.631,284.443,46.001
1.674,284.394,47.479
1.458,286.349,48.828
1.631,286.579,30.173
1.501,287.817,44.573
1.385,287.309,51.371
1.631,285.776,48.645
1.328,286.552,50.893
1.097,286.723,49.459
1.458,286.611,51.65
1.371,286.531,53.312
1.126,286.395,45.077
1.371,285.762,43.925
1.501,287.045,46.177
1.313,287.514,52.029
1.328,288.604,37.207
1.342,287.178,33.41
1.458,288.336,45.012
1.284,287.175,42.814
1.458,288.924,51.166
1.313,287.284,46.694
1.602,287.736,48.575
1.342,288.068,49.344
1.501,286.813,49.664
1.198,283.842,50.021
1.27,285.979,54.158
1.198,286.843,52.232
1.587,287.481,61.535
1.458,287.85,44.591
1.241,287.292,41.24
1.486,287.912,45.92
1.198,287.262,51.836
1.212,286.096,46.468
1.357,286.196,47.213
1.313,287.769,49.954
1.357,288.45,49.856
1.212,287.594,40.106
1.313,289.253,36.643
1.544,290.795,38.313
1.357,291.424,59.229
1.183,287.639,52.121
1.299,285.745,49.51
1.198,286.767,45.992
1.602,288.065,42.91
1.4,288.277,42.176
1.4,288.904,48.593
1.342,287.107,50.235
1.371,287.009,44.348
1.443,287.573,35.806
1.241,287.241,49.42
1.241,285.314,52.81
1.486,285.704,53.128
1.501,286.857,35.76
1.198,286.717,40.862
1.313,286.373,47.878
1.385,288.117,52.117
1.486,289.26,61.958
1.486,288.494,45.19
1.357,289.136,32.563
1.097,289.445,33.503
1.284,287.272,46.334
1.602,286.779,39.458
1.4,286.354,35.384
1.241,285.886,43.186
1.299,287.75,40.625
1.443,288.102,42.476
1.256,288.264,43.353
1.169,287.863,42.351
1.328,286.042,44.808
1.385,285.714,35.438
1.385,289.163,35.892
1.27,289.501,33.253
1.414,288.298,36.701
1.227,287.979,42.605
1.328,287.695,41.037
1.27,286.922,46.701
1.328,286.47,38.826
1.227,288.193,45.705
1.241,287.709,44.112
1.284,286.53,53.138
1.443,285.645,43.513
1.256,287.547,50.93
1.284,282.872,45.297
1.328,281.721,41.691
1.458,286.241,45.959
1.53,286.65,47.829
1.587,286.03,45.244
1.486,286.105,42.679
1.385,288.091,47.702
1.804,284.811,50.441
1.587,284.024,43.363
1.256,281.022,44.44
1.472,281.797,48.047
1.862,283.959,43.773
1.371,284.486,39.713
1.313,283.415,30.302
1.631,284.485,36.744
1.27,284.576,35.718
1.53,285.389,35.393
1.645,284.19,46.227
1.328,283.289,26.066
1.573,283.68,26.273
1.212,284.779,28.422
1.717,283.987,29.248
1.27,285.563,35.866
1.515,285.133,32.427
1.472,285.849,32.323
1.602,287.657,27.544
1.4,287.79,21.594
1.342,286.412,36.753
1.328,285.862,46.937
1.804,284.7,45.717
1.472,281.823,54.173
1.299,280.993,32.752
1.429,280.822,31.388
1.299,280.395,15.996
1.429,280.632,24.162
1.53,281.445,20.247
1.458,279.845,17.415
1.515,280.188,27.768
1.602,281.784,29.851
1.501,282.497,21.505
1.357,286.141,42.155
1.891,285.099,52.551
1.616,280.751,49.884
1.486,282.279,45.505
1.486,285.163,40.735
1.573,286.038,45.233
1.443,284.695,39.82
1.414,283.952,46.236
1.385,281.239,29.766
1.155,281.918,48.232
1.847,281.733,60.439
1.328,283.947,59.477
1.515,281.344,61.271
1.342,279.796,70.284
1.458,283.187,60.896
1.775,280.351,54.209
1.732,275.554,35.312
1.443,280.27,50.834
1.501,279.055,25.694
1.573,275.887,12.713
1.703,278.348,15.327
1.53,280.428,41.025
1.919,277.714,37.43
1.688,278.676,28.696
1.631,279.611,27.548
1.443,280.618,15.77
1.732,279.32,36.079
1.155,274.377,36.038
1.443,278.848,53.666
1.385,279.658,53.318
1.775,278.991,27.364
1.645,281.095,32.301
1.414,282.004,48.301
1.703,279.353,53.908
1.573,283.675,53.448
1.414,279.114,59.78
1.559,280.538,52.277
1.501,278.772,51.437
1.587,282.124,47.205
1.818,283.09,57.181
1.948,283.541,53.891
1.717,279.199,60.698
1.443,278.538,53.598
1.717,278.35,48.234
1.79,276.753,39.843
1.587,274.953,20.262
1.212,276.102,9.985
1.616,276.121,7.337
1.674,274.109,4.495
1.833,274.082,10.435
1.573,272.645,17.341
1.862,273.752,23.656
1.746,275.328,23.602
1.501,275.709,20.645
1.804,272.749,6.735
2.078,272.463,6.862
1.761,275.706,18.359
1.746,275.287,30.743
1.905,280.217,36.936
2.006,276.847,37.222
1.876,279.28,43.549
1.905,282.628,53.931
1.717,282.628,53.059
2.006,277.978,46.484
1.79,277.847,31.908
1.79,279.83,24.726
2.053,278.678,40.601
1.627,281.995,41.277
1.878,280.928,49.938
1.84,280.868,39.277
1.762,279.007,31.995
1.704,281.995,51.701
1.685,280.093,44.989
1.569,282.926,53.151
1.859,278.999,45.686
1.665,280.998,52.278
1.607,282.665,51.309
1.491,281.769,51.47
1.898,279.213,49.517
1.51,280.802,45.548
1.394,278.43,33.512
1.569,278.818,46.201
1.704,280.036,46.696
1.627,281.354,45.836
1.743,279.694,47.018
1.452,276.24,44.649
1.84,275.678,42.373
1.704,273.168,37.973
1.685,275.541,44.235
1.646,273.994,31.795
1.975,277.864,39.74
1.84,278.981,40.341
1.936,280.868,51.59
1.569,280.414,39.444
2.033,277.579,39.492
1.51,281.667,41.836
1.723,281.693,27.198
1.743,279.384,34.461
1.607,275.325,24.229
1.917,274.438,22.061
1.665,274.238,27.117
1.82,271.962,26.206
1.607,272.738,24.466
1.743,273.446,20.715
1.685,273.76,31.229
1.801,276.147,18.946
1.84,278.237,37.675
1.878,278.47,44
1.627,278.633,40.353
1.898,278.45,39.157
1.704,280.161,37.033
1.743,279.6,19.962
1.82,278.484,16.407
1.685,276.913,31.812
1.936,279.324,17.878
1.878,281.265,28.025
1.782,279.657,33.279
1.936,280.434,35.987
2.149,280.746,40.793
1.782,280.516,34.064
1.801,279.452,33.139
1.375,278.084,49.974
1.975,279.562,36.651
1.782,280.23,59.887
1.743,278.413,59.897
1.375,278.239,40.836
1.801,278.69,41.439
1.859,278.576,37.994
1.704,280.068,67.844
1.936,281.078,66.235
1.51,279.368,52.432
1.491,279.696,50.503
1.433,279.265,62.39
1.704,282.035,59.209
1.936,283.085,56.556
1.82,282.092,51.368
1.433,280.027,43.893
1.898,281.042,39.295
1.259,280.63,48.243
1.336,279.224,59.185
1.278,282.459,61.068
1.433,276.246,74.357
1.549,275.802,63.686
1.859,274.94,75.084
1.142,275.425,66.424
1.51,279.171,42.023
1.569,279.261,54.437
1.549,278.311,47.445
1.394,280.97,58.508
1.53,280.75,54.943
1.569,281.457,47.103
1.549,280.605,44.481
1.22,280.209,50.918
1.51,280.249,62.386
1.607,281.044,73.701
1.414,280.755,78.495
1.375,280.593,76.102
1.723,279.291,64.578
1.588,280.638,52.243
1.569,282.594,45.887
1.627,281.612,55.564
1.588,281.674,60.305
1.723,282.95,62.185
1.627,283.218,58.611
1.627,284.2,56.486
1.51,283.924,51.228
1.723,283.305,45.463
1.239,283.23,43.569
1.607,285.378,58.873
1.491,287.065,73.892
1.356,285.217,58.458
1.53,282.612,66.68
1.53,281.626,67.735
1.433,283.044,65.082
1.607,281.727,63.936
1.685,285.955,63.899
1.452,285.912,64.826
1.472,285.875,40.436
1.627,286.948,42.484
1.375,286.852,56.815
1.356,284.016,59.356
1.452,282.635,64.326
1.433,283.585,66.777
1.356,284.462,68.482
1.51,283.743,67.833
1.046,284.631,71.816
1.472,282.981,70.009
1.181,282.402,67.647
1.704,282.298,67.364
1.297,284.057,66.739
1.336,285.008,62.891
1.472,284.499,54.947
1.394,283.555,58.197
1.394,284.019,49.912
1.336,284.075,58.815
1.491,282.694,53.78
1.452,284.424,57.227
1.278,283.406,48.321
1.607,281.658,70.92
1.375,282.936,47.96
1.142,282.077,45.72
1.646,286.446,30.334
1.414,286.253,51.483
1.201,284.683,64.41
1.569,284.346,55.777
1.84,285.178,57.898
1.181,285.3,55.156
1.162,287.361,42.173
1.239,288.488,42.218
1.317,284.651,61.287
1.433,283.063,57.712
1.491,280.985,64.224
1.336,281.836,69.251
1.278,282.419,61.835
1.297,284.372,52.271
1.356,285.993,48.57
1.181,287.168,57.43
1.472,289.457,74.513
1.375,289.542,82.767
1.452,287.216,71.603
1.452,285.807,76.367
1.782,285.462,78.534
1.433,286.907,67.917
1.317,289.335,71.922
1.22,290.004,77.454
1.201,289.815,86.423
1.317,290.788,81.316
1.491,289.311,66.37
1.491,287.747,48.785
1.569,284.306,57.408
1.336,284.7,59.435
1.142,286.277,51.975
1.22,287.317,51.746
1.201,287.327,50.019
1.142,289.427,52.786
1.607,289.672,61.492
1.239,288.156,46.84
1.297,287.124,44.989
1.433,287.035,57.132
1.239,286.097,47.129
1.375,284.876,57.903
1.356,284.59,46.854
1.375,284.394,41.447
1.046,284.774,45.45
1.491,286.468,46.751
1.026,286.228,26.599
1.065,288.273,42.358
1.433,287.677,44.798
1.259,286.077,43.543
1.297,286.813,45.239
1.065,287.456,48.388
1.142,286.906,47.111
1.627,286.691,52.774
1.336,286.895,42.351
1.53,286.262,42.487
1.181,287.375,43.817
1.259,287.63,49.398
0.968,288.789,33.202
1.123,287.587,29.794
1.22,289.02,43.343
1.375,287.143,39.965
1.142,289.643,50.619
1.452,287.729,43.94
1.201,287.902,42.802
1.22,287.81,49.809
1.123,287.117,54.94
1.375,283.794,52.416
1.259,286.376,49.452
1.472,286.658,51.792
1.259,287.604,60.713
1.104,287.838,37.976
1.317,287.541,36.039
1.375,287.986,42.482
1.239,287.473,50.304
1.259,286.045,44.906
1.259,286.125,44.728
1.046,288.026,45.866
1.588,288.905,49.166
1.22,287.684,41.293
1.356,289.844,38.851
1.414,291.517,32.681
1.142,292.532,65.093
1.433,288.616,52.206
1.259,286.489,46.69
1.297,287.003,44.173
0.929,287.595,45.308
1.026,288.222,44.921
1.394,289.461,49.985
1.278,287.331,46.38
0.949,287.14,39.559
1.162,287.32,29.371
1.452,287.759,44.559
0.988,285.571,49.359
1.452,286.05,49.769
1.297,286.967,32.009
0.852,286.872,36.309
1.239,286.402,48.442
1.336,287.938,58.636
1.239,288.593,65.56
1.22,287.949,52.901
1.394,288.814,40.696
1.162,289.624,31.986
1.414,287.588,46.41
1.026,286.94,38.849
1.491,285.875,33.937
1.123,286.108,38.997
1.452,288.406,38.1
1.278,288.512,41.768
1.123,288.383,40.677
1.007,287.832,38.415
1.084,285.538,43.684
1.375,285.219,42.402
1.452,289.709,34.425
1.278,289.917,30.99
1.123,288.581,31.238
1.297,288.31,37.803
0.988,287.647,34.869
1.239,287.106,45.382
0.929,286.441,34.784
1.046,288.397,40.745
1.259,288.103,37.845
1.104,286.748,49.975
1.201,285.735,37.534
1.162,288.005,47.922
1.723,283.089,41.407
1.278,281.735,44.54
1.549,286.169,40.49
1.394,286.709,43.423
1.278,286.002,36.705
1.452,285.9,34.608
1.394,288.384,40.295
1.278,285.393,44.672
1.046,284.183,39.351
1.22,281.055,49.547
1.104,282.469,50.281
1.336,284.166,46.139
1.22,284.077,44.486
1.356,282.648,32.153
1.239,283.892,41.403
1.588,284.28,45.335
1.201,285.289,34.136
1.22,284.583,41.396
1.336,283.295,32.436
1.336,284.126,33.047
1.142,284.652,28.201
1.375,283.478,36.323
1.491,284.836,28.487
1.239,284.988,36.412
1.336,286.131,26.859
1.336,288.094,22.464
1.317,288.316,12.696
1.433,286.733,19.836
1.317,285.788,34.891
1.278,284.89,36.666
1.375,281.759,47.117
1.53,280.415,32.193
1.317,280.46,31.461
1.239,279.92,18.853
1.569,279.425,18.829
1.201,280.459,13.76
1.317,279.996,21.389
1.723,281.036,35.897
1.336,282.152,37.446
1.491,282.026,21.27
1.336,286.184,32.103
1.414,285.385,46.832
1.51,280.834,41.702
1.278,281.835,43.176
1.22,285.253,34.069
1.53,286.131,41
1.336,285.273,34.462
1.394,284.126,41.282
1.472,280.754,22.401
1.607,281.716,38.056
1.278,281.292,55.673
1.22,284.226,57.858
1.375,281.27,57.481
1.723,278.822,67.215
1.375,282.96,57.217
1.123,280.12,57.81
1.433,275.895,35.098
1.356,279.823,43.511
1.472,278.741,30.587
1.317,276.201,14.748
1.685,278.28,8.563
1.375,279.427,26.143
1.472,277.246,36.198
1.917,278.812,29.611
1.723,280.054,26.546
1.375,281.338,12.297
1.859,279.42,32.318
1.297,275.096,44.287
1.356,278.516,42.745
1.53,278.856,49.112
1.743,277.405,26.074
1.665,279.718,15.984
1.336,281.841,36.287
1.53,279.269,45.784
1.491,283.619,44.766
1.588,279.01,55.725
1.646,280.288,49.197
1.685,278.267,46.934
1.82,281.438,35.971
1.549,283.345,51.197
1.607,283.128,46.027
1.743,279.277,56.419
1.491,277.885,47.718
1.491,277.686,43.936
2.014,276.881,46.07
1.878,275.101,20.061
1.356,275.347,5.662
1.627,274.335,4.339
1.53,272.671,4.41
1.627,274.312,11.097
1.84,272.52,17.66
1.685,274.348,24.637
1.84,275.834,26.514
1.452,276.357,23.092
1.743,274.105,5.338
1.588,273.396,4.897
1.743,274.67,14.597
1.685,273.703,24.148
1.898,279.62,28.247
2.014,276.459,28.218
1.762,278.645,35.394
1.936,282.814,47.274
2.111,282.954,47.41
1.665,277.715,44.615
2.091,277.145,23.94
1.995,278.836,13.762
1.022,279.167,40.544
1.703,282.092,40.79
1.771,281.484,45.662
1.816,281.621,34.165
1.907,278.754,25.772
1.498,282.137,52.474
1.725,280.989,46.079
1.453,284.401,53.887
1.657,280.344,46.984
1.635,281.789,51.012
1.498,283.184,50.903
1.771,283.044,51.215
1.339,279.058,42.761
1.294,280.419,40.146
1.112,281.653,29.474
1.476,280.171,47.822
1.839,281.93,49.94
1.249,282.125,45.911
1.453,281.362,48.242
1.226,277.21,43.998
1.657,275.944,34.62
1.385,273.944,28.899
1.884,275.488,31.568
1.385,274.289,20.9
1.271,277.655,28.759
1.476,279.029,28.796
1.453,280.627,46.843
1.725,280.642,28.868
1.521,278.237,25.124
1.771,280.753,33.738
1.498,282.195,16.142
1.362,280.247,21.62
1.521,275.256,10.688
1.703,273.336,8.485
1.657,275.059,12.741
1.816,272.218,11.947
1.748,272.502,11.329
1.975,273.798,21.581
1.884,273.682,25.276
1.794,277.488,22.888
1.771,279.766,52.386
1.884,279.888,49.013
1.703,279.254,43.082
1.771,279.252,35.275
1.589,280.029,37.273
1.612,280.437,19.226
1.566,279.277,10.114
1.566,278.507,24.853
2.202,280.197,21.228
1.816,282.109,29.585
1.748,280.803,38.654
1.498,280.783,41.554
1.771,281.633,49.775
1.771,281.319,43.312
1.476,280.358,37.866
1.748,278.999,49.026
1.748,280.582,36.949
2.157,281.685,61.347
1.612,278.773,58.151
1.498,278.756,40.463
1.703,279.433,42.345
1.703,279.668,39.595
1.476,280.784,69.932
1.68,282.143,62.988
1.68,279.895,43.61
1.68,280.186,38.663
1.158,280.471,56.635
1.476,282.263,53.39
1.612,283.05,55.322
1.453,283.253,43.063
1.453,280.323,41.097
1.09,281.441,34.241
1.589,281.378,39.355
