mortality_rate,T2M,PM10
1.249,287.4,6.438
1.054,284.733,5.831
1.288,284.749,4.92
1.717,289.327,6.583
1.288,289.2,7.878
1.327,288.244,8.302
1.6,287.993,7.384
1.366,287.225,8.252
1.366,286.489,7.662
1.678,286.043,14.55
1.171,287.891,13.867
1.21,287.525,15.947
1.444,285.819,9.863
1.327,285.047,9.812
1.405,287.312,5.452
1.522,282.259,3.524
1.795,280.945,3.976
1.717,286.072,5.157
1.522,285.59,8.634
1.561,284.552,5.614
1.522,285.832,9.469
1.991,287.88,6.239
1.639,284.771,4.332
1.327,283.266,3.038
0.937,280.388,4.635
0.898,281.763,3.883
1.717,283.397,3.812
1.093,283.443,3.602
0.976,282.589,6.042
1.444,283.334,13.446
1.6,283.605,11.383
1.327,284.776,17.856
1.327,284.534,4.968
1.678,283.251,10.453
1.288,284.273,21.752
1.288,284.597,11.721
1.522,282.901,9.907
1.405,284.525,10.901
1.249,284.41,10.89
1.405,286.483,9.707
1.639,287.617,9.763
1.132,287.636,14.821
1.327,286.077,20.115
1.288,285.087,15.795
1.561,283.966,6.434
1.444,281.295,4.694
1.639,280.023,8.613
1.405,280.85,12.648
1.834,280.793,17.909
1.522,280.05,21.003
1.483,280.82,23.938
1.483,280.016,24.835
1.366,280.31,15.396
2.108,281.674,16.706
1.756,282.266,27.954
0.898,285.649,5.923
1.756,284.476,2.967
1.171,280.327,5.822
1.366,281.436,6.367
1.483,285.043,6.39
1.483,286.122,4.825
1.639,285.412,6.653
1.21,283.096,6.536
1.288,280.498,9.963
1.952,281.498,9.068
1.561,280.834,6.279
1.21,283.677,4.855
1.288,280.605,5.669
1.874,278.156,4.827
1.288,282.455,3.278
1.678,279.063,2.579
1.639,275.483,5.946
1.483,279.274,3.003
1.834,278.712,5.481
1.249,276.466,12.442
1.21,279.459,11.477
1.678,280.293,7.17
1.639,277.375,4.542
1.874,278.679,9.675
1.405,279.756,14.814
1.795,281.035,9.254
1.561,278.518,3.584
1.874,274.533,5.64
1.522,278.645,4.788
1.913,277.771,6
1.991,276.753,7.297
1.6,279.857,3.976
1.717,281.864,3.824
1.405,278.728,4.836
1.913,283.155,3.846
1.483,278.583,7.013
1.756,279.282,6.454
1.756,277.332,2.826
1.834,281.144,2.563
1.952,282.823,5.854
2.069,282.29,4.863
2.069,278.542,4.091
1.874,277.134,5.335
1.717,277.616,5.749
1.952,276.081,2.857
1.561,275.128,7.804
1.522,276.196,20.911
1.522,275.384,25.707
1.6,273.676,24.067
1.249,273.9,20.682
1.913,272.985,19.906
1.561,273.894,21.209
1.483,275.799,22.314
1.717,275.926,22.988
1.678,274.164,25.123
1.678,273.277,25.03
2.03,274.274,18.099
1.874,274.382,7.739
2.108,278.874,6.496
1.874,276.035,6.815
2.225,278.844,6.834
2.381,282.077,4.482
1.639,282.527,3.795
2.225,277.204,6.488
1.327,276.573,7.652
1.913,279.282,7.478
1.963,279.001,11.496
1.891,282.204,7.021
1.674,280.649,10.072
1.818,280.997,8.103
1.703,279.384,8.184
1.746,282.008,6.899
1.876,280.526,6.279
1.919,282.608,7.652
1.977,278.909,4.952
1.79,281.231,10.67
1.919,282.662,9.56
1.919,281.663,5.456
1.645,279.246,7.393
2.194,281.018,8.209
1.948,279.032,7.529
1.746,278.745,7.509
1.862,280.568,6.801
1.934,281.499,10.083
1.703,279.519,9.62
1.804,276.392,6.088
1.818,275.327,6.028
1.818,273.016,6.734
1.79,275.586,4.98
1.804,274.004,9.054
1.804,278.092,6.599
1.948,279.011,6.65
1.544,280.321,7.018
1.992,279.956,8.755
2.006,277.874,8.775
1.458,281.247,8.363
1.977,281.399,11.155
1.53,279.364,10.646
1.414,274.762,14.725
1.688,274.298,23.515
1.876,274.252,14.627
1.775,272.413,14.835
2.121,272.149,14.72
1.934,273.293,13.356
2.179,273.097,15.081
2.107,276.089,7.623
2.121,278.556,9.09
2.107,278.751,6.693
2.049,278.801,9.708
2.309,278.117,10.287
1.977,280.877,13.282
1.818,279.873,10.26
1.919,278.728,12.776
1.53,277.082,13.794
1.891,279.726,20.454
2.251,280.985,12.724
2.006,279.479,12.505
1.761,280.961,8.9
1.862,280.893,14.871
1.833,280.418,10.516
1.847,279.609,9.656
1.977,277.8,6.111
2.049,280.524,7.33
2.02,279.948,9.034
1.631,278.169,6.051
1.891,278.087,9.84
1.79,279.165,8.846
1.746,278.986,7.893
1.804,279.93,7.637
2.049,280.811,6.504
1.573,279.279,11.34
1.876,279.316,9.438
1.66,279.085,13.252
1.818,281.874,10.721
1.559,282.754,14.928
1.602,281.443,9.65
1.645,279.867,11.659
1.732,280.701,12.694
1.544,280.318,10.586
1.818,279.231,8.566
1.818,282.231,9.389
1.559,275.964,11.606
1.963,275.82,7.405
1.717,274.903,7.252
1.616,275.261,8.763
1.414,280.006,7.092
1.472,279.461,10.995
1.804,278.378,21.371
1.674,281.295,35.062
1.775,281.011,37.461
1.631,281.827,47.016
1.472,280.16,48.695
1.732,279.468,19.594
1.602,280.552,35.412
1.616,281.342,23.451
1.746,280.941,18.168
1.559,281.285,24.951
1.573,279.477,8.1
1.602,280.288,10.671
1.472,281.578,10.454
1.501,281.11,7.888
1.775,281.365,11.774
1.703,282.69,13.234
1.847,282.598,9.619
1.559,283.812,8.509
1.198,283.67,9.451
1.79,283.996,21.719
1.948,284.099,31.791
1.4,286.455,38.545
1.443,286.793,37.294
1.472,284.833,13.773
1.573,282.318,8.4
1.486,281.45,9.527
1.559,282.99,11.02
1.891,282.705,18.765
1.674,285.614,20.45
1.313,285.524,16.708
1.804,285.555,8.059
1.486,286.188,6.894
1.544,285.75,8.444
1.53,284.517,8.254
1.414,283.895,9.452
1.515,284.863,10.508
1.414,285.325,16.219
1.703,284.684,10.519
1.342,285.663,12.247
1.573,284.72,10.84
1.357,283.765,13.736
1.703,283.436,12.384
1.616,284.795,17.73
1.414,284.789,12.538
1.631,284.06,6.834
1.486,283.58,8.829
1.515,283.539,6.897
1.241,283.817,8.915
1.515,282.56,6.577
1.443,284.016,8.074
1.443,283.199,9.545
1.299,282.013,4.666
1.761,283.395,6.156
1.66,282.424,5.234
1.645,287.101,5.118
1.299,285.57,8.616
1.515,284.258,10.427
1.371,283.782,12.017
1.688,285.145,12.794
1.486,285.061,11.229
1.472,287.146,11.397
1.486,288.144,9.326
1.299,284.013,7.521
1.501,282.621,7.356
1.342,280.836,5.751
1.256,281.606,6.605
1.328,282.006,6.385
1.27,283.446,9.477
1.256,285.828,14.07
1.486,287.467,18.568
1.515,289.704,18.313
1.371,288.875,17.42
1.645,288.44,15.368
1.429,287.201,15.448
1.198,286.56,15.97
1.342,287.338,16.812
1.429,289.541,19.759
1.342,290.585,22.47
1.674,290.545,18.522
1.328,291.362,25.398
1.53,289.542,23.257
1.328,287.598,9.393
1.328,285.21,5.101
1.429,285.504,3.762
1.53,286.221,5.35
1.414,287.233,9.125
1.472,287.606,14.973
1.587,289.658,14.783
1.4,288.881,10.892
1.126,287.606,12.451
1.227,287.173,12.193
1.4,287.024,9.365
1.472,285.621,5.453
1.126,284.994,4.854
1.559,284.452,6.11
1.631,284.443,7.823
1.674,284.394,5
1.458,286.349,3.968
1.631,286.579,5.837
1.501,287.817,8.902
1.385,287.309,9.162
1.631,285.776,4.101
1.328,286.552,4.529
1.097,286.723,7.242
1.458,286.611,3.583
1.371,286.531,4.994
1.126,286.395,9.197
1.371,285.762,7.916
1.501,287.045,6.519
1.313,287.514,6.178
1.328,288.604,7.311
1.342,287.178,7.067
1.458,288.336,6.113
1.284,287.175,7.691
1.458,288.924,8.054
1.313,287.284,5.924
1.602,287.736,5.912
1.342,288.068,9.978
1.501,286.813,9.867
1.198,283.842,4.524
1.27,285.979,7.435
1.198,286.843,12.778
1.587,287.481,7.564
1.458,287.85,7.061
1.241,287.292,8.948
1.486,287.912,6.785
1.198,287.262,3.584
1.212,286.096,3.968
1.357,286.196,3.652
1.313,287.769,6.879
1.357,288.45,9.116
1.212,287.594,9.875
1.313,289.253,8.574
1.544,290.795,6.164
1.357,291.424,15.049
1.183,287.639,6.427
1.299,285.745,4.448
1.198,286.767,5.919
1.602,288.065,10.241
1.4,288.277,11.875
1.4,288.904,10.234
1.342,287.107,6.11
1.371,287.009,5.479
1.443,287.573,7.306
1.241,287.241,4.989
1.241,285.314,7.868
1.486,285.704,8.339
1.501,286.857,7.473
1.198,286.717,3.554
1.313,286.373,7.044
1.385,288.117,9.399
1.486,289.26,9.367
1.486,288.494,9.193
1.357,289.136,11.81
1.097,289.445,9.024
1.284,287.272,6.953
1.602,286.779,11.946
1.4,286.354,11.798
1.241,285.886,7.121
1.299,287.75,7.551
1.443,288.102,10.166
1.256,288.264,7.389
1.169,287.863,8.415
1.328,286.042,7.375
1.385,285.714,9.276
1.385,289.163,9.735
1.27,289.501,9.734
1.414,288.298,10.611
1.227,287.979,7.359
1.328,287.695,9.659
1.27,286.922,9.957
1.328,286.47,16.106
1.227,288.193,17.774
1.241,287.709,17.372
1.284,286.53,12.007
1.443,285.645,10.554
1.256,287.547,6.615
1.284,282.872,5.114
1.328,281.721,6.49
1.458,286.241,5.751
1.53,286.65,9.243
1.587,286.03,5.375
1.486,286.105,10.032
1.385,288.091,8.238
1.804,284.811,4.448
1.587,284.024,4.631
1.256,281.022,5.742
1.472,281.797,6.952
1.862,283.959,7.671
1.371,284.486,7.922
1.313,283.415,11.558
1.631,284.485,14.066
1.27,284.576,16.001
1.53,285.389,21.535
1.645,284.19,7.413
1.328,283.289,14.995
1.573,283.68,22.933
1.212,284.779,22.588
1.717,283.987,20.518
1.27,285.563,13.378
1.515,285.133,14.702
1.472,285.849,14.713
1.602,287.657,16.146
1.4,287.79,17.572
1.342,286.412,21.529
1.328,285.862,16.48
1.804,284.7,7.603
1.472,281.823,5.537
1.299,280.993,10.248
1.429,280.822,18.677
1.299,280.395,20.781
1.429,280.632,22.149
1.53,281.445,25.662
1.458,279.845,25.653
1.515,280.188,17.734
1.602,281.784,20.099
1.501,282.497,25.33
1.357,286.141,6.741
1.891,285.099,3.846
1.616,280.751,7.281
1.486,282.279,7.313
1.486,285.163,8.254
1.573,286.038,7.258
1.443,284.695,9.33
1.414,283.952,8.095
1.385,281.239,15.126
1.155,281.918,10.565
1.847,281.733,7.292
1.328,283.947,5.997
1.515,281.344,6.702
1.342,279.796,6.304
1.458,283.187,7.025
1.775,280.351,4.695
1.732,275.554,9.584
1.443,280.27,3.715
1.501,279.055,8.198
1.573,275.887,19.394
1.703,278.348,17.67
1.53,280.428,7.664
1.919,277.714,3.81
1.688,278.676,9.971
1.631,279.611,13.866
1.443,280.618,8.732
1.732,279.32,3.783
1.155,274.377,7.76
1.443,278.848,5.86
1.385,279.658,6.239
1.775,278.991,10.694
1.645,281.095,6.244
1.414,282.004,4.645
1.703,279.353,6.29
1.573,283.675,4.844
1.414,279.114,8.287
1.559,280.538,5.616
1.501,278.772,3.153
1.587,282.124,4.102
1.818,283.09,7.128
1.948,283.541,5.239
1.717,279.199,6.189
1.443,278.538,7.272
1.717,278.35,7.907
1.79,276.753,5.126
1.587,274.953,11.447
1.212,276.102,23.032
1.616,276.121,25.531
1.674,274.109,24.423
1.833,274.082,20.426
1.573,272.645,22.731
1.862,273.752,20.871
1.746,275.328,22.589
1.501,275.709,22.448
1.804,272.749,26.606
2.078,272.463,26.366
1.761,275.706,15.568
1.746,275.287,9.916
1.905,280.217,8.663
2.006,276.847,7.881
1.876,279.28,8.282
1.905,282.628,5.608
1.717,282.628,5.146
2.006,277.978,8.066
1.79,277.847,6.194
1.79,279.83,8.597
2.053,278.678,11.152
1.627,281.995,9.572
1.878,280.928,10.213
1.84,280.868,10.167
1.762,279.007,10.909
1.704,281.995,7.282
1.685,280.093,7.012
1.569,282.926,8.921
1.859,278.999,6.901
1.665,280.998,11.702
1.607,282.665,13.555
1.491,281.769,6.204
1.898,279.213,9.559
1.51,280.802,11.576
1.394,278.43,8.025
1.569,278.818,9.633
1.704,280.036,6.886
1.627,281.354,13.511
1.743,279.694,10.593
1.452,276.24,7.581
1.84,275.678,5.612
1.704,273.168,6.228
1.685,275.541,5.369
1.646,273.994,10.334
1.975,277.864,7.031
1.84,278.981,7.88
1.936,280.868,6.037
1.569,280.414,11.818
2.033,277.579,11.419
1.51,281.667,10.569
1.723,281.693,12.641
1.743,279.384,12.316
1.607,275.325,13.275
1.917,274.438,20.372
1.665,274.238,14.618
1.82,271.962,12.849
1.607,272.738,11.553
1.743,273.446,15.436
1.685,273.76,13.313
1.801,276.147,11.596
1.84,278.237,10.628
1.878,278.47,8.664
1.627,278.633,13.707
1.898,278.45,12.095
1.704,280.161,16.435
1.743,279.6,15.507
1.82,278.484,18.9
1.685,276.913,14.331
1.936,279.324,22.392
1.878,281.265,17.603
1.782,279.657,14.491
1.936,280.434,9.571
2.149,280.746,16.144
1.782,280.516,15.145
1.801,279.452,12.512
1.375,278.084,7.968
1.975,279.562,8.882
1.782,280.23,11.293
1.743,278.413,8.355
1.375,278.239,12.329
1.801,278.69,11.272
1.859,278.576,9.315
1.704,280.068,9.145
1.936,281.078,8.148
1.51,279.368,12.117
1.491,279.696,13.583
1.433,279.265,14.454
1.704,282.035,14.377
1.936,283.085,16.376
1.82,282.092,15.227
1.433,280.027,16.218
1.898,281.042,16.949
1.259,280.63,15.5
1.336,279.224,9.957
1.278,282.459,10.303
1.433,276.246,10.087
1.549,275.802,6.668
1.859,274.94,7.568
1.142,275.425,8.893
1.51,279.171,9.306
1.569,279.261,11.897
1.549,278.311,19.607
1.394,280.97,34.4
1.53,280.75,37.686
1.569,281.457,43.667
1.549,280.605,48.808
1.22,280.209,35.382
1.51,280.249,38.269
1.607,281.044,25.695
1.414,280.755,18.681
1.375,280.593,24.281
1.723,279.291,7.235
1.588,280.638,10.765
1.569,282.594,13.348
1.627,281.612,7.951
1.588,281.674,12.71
1.723,282.95,13.927
1.627,283.218,10.417
1.627,284.2,8.794
1.51,283.924,10.55
1.723,283.305,23.879
1.239,283.23,30.148
1.607,285.378,34.949
1.491,287.065,34.224
1.356,285.217,19.338
1.53,282.612,9.708
1.53,281.626,9.539
1.433,283.044,12.791
1.607,281.727,12.83
1.685,285.955,25.838
1.452,285.912,21.437
1.472,285.875,13.197
1.627,286.948,10.772
1.375,286.852,11.85
1.356,284.016,6.919
1.452,282.635,8.279
1.433,283.585,10.711
1.356,284.462,14.677
1.51,283.743,9.009
1.046,284.631,11.298
1.472,282.981,9.888
1.181,282.402,11.972
1.704,282.298,10.311
1.297,284.057,14.24
1.336,285.008,15.48
1.472,284.499,9.533
1.394,283.555,11.841
1.394,284.019,9.118
1.336,284.075,14.025
1.491,282.694,9.356
1.452,284.424,9.326
1.278,283.406,11.246
1.607,281.658,6.575
1.375,282.936,9.329
1.142,282.077,7.157
1.646,286.446,6.55
1.414,286.253,9.811
1.201,284.683,14.446
1.569,284.346,15.403
1.84,285.178,16.777
1.181,285.3,13.008
1.162,287.361,13.09
1.239,288.488,11.61
1.317,284.651,8.445
1.433,283.063,9.846
1.491,280.985,7.119
1.336,281.836,10.025
1.278,282.419,5.97
1.297,284.372,11.073
1.356,285.993,15.19
1.181,287.168,20.57
1.472,289.457,21.543
1.375,289.542,22.461
1.452,287.216,16.715
1.452,285.807,14.207
1.782,285.462,15.261
1.433,286.907,16.831
1.317,289.335,17.685
1.22,290.004,22.33
1.201,289.815,17.19
1.317,290.788,19.461
1.491,289.311,24.113
1.491,287.747,11.257
1.569,284.306,4.668
1.336,284.7,4.386
1.142,286.277,10.945
1.22,287.317,11.409
1.201,287.327,15.349
1.142,289.427,16.21
1.607,289.672,12.895
1.239,288.156,14.14
1.297,287.124,12.719
1.433,287.035,11.809
1.239,286.097,8.156
1.375,284.876,5.63
1.356,284.59,8.397
1.375,284.394,9.312
1.046,284.774,7.847
1.491,286.468,5.855
1.026,286.228,8.782
1.065,288.273,8.999
1.433,287.677,11.502
1.259,286.077,6.611
1.297,286.813,7.124
1.065,287.456,9.076
1.142,286.906,4.601
1.627,286.691,6.449
1.336,286.895,10.769
1.53,286.262,10.917
1.181,287.375,9.388
1.259,287.63,7.078
0.968,288.789,8.722
1.123,287.587,11.476
1.22,289.02,8.344
1.375,287.143,9.018
1.142,289.643,10.442
1.452,287.729,6.919
1.201,287.902,8.857
1.22,287.81,13.152
1.123,287.117,8.546
1.375,283.794,4.545
1.259,286.376,10.172
1.472,286.658,13.762
1.259,287.604,12.395
1.104,287.838,9.718
1.317,287.541,10.723
1.375,287.986,10.506
1.239,287.473,5.976
1.259,286.045,5.014
1.259,286.125,4.638
1.046,288.026,7.876
1.588,288.905,12.299
1.22,287.684,10.234
1.356,289.844,10.984
1.414,291.517,9.946
1.142,292.532,17.529
1.433,288.616,10.318
1.259,286.489,5.671
1.297,287.003,9.11
0.929,287.595,11.58
1.026,288.222,14.078
1.394,289.461,14.388
1.278,287.331,9.858
0.949,287.14,7.64
1.162,287.32,8.172
1.452,287.759,6.39
0.988,285.571,8.967
1.452,286.05,11.128
1.297,286.967,9.871
0.852,286.872,5.349
1.239,286.402,6.924
1.336,287.938,11.556
1.239,288.593,10.49
1.22,287.949,11.396
1.394,288.814,13.143
1.162,289.624,10.323
1.414,287.588,7.621
1.026,286.94,12.297
1.491,285.875,15.056
1.123,286.108,10.344
1.452,288.406,7.664
1.278,288.512,10.364
1.123,288.383,7.979
1.007,287.832,8.527
1.084,285.538,9.033
1.375,285.219,10.338
1.452,289.709,8.843
1.278,289.917,9.795
1.123,288.581,11.358
1.297,288.31,10.51
0.988,287.647,11.405
1.239,287.106,12.435
0.929,286.441,14.451
1.046,288.397,17.619
1.259,288.103,19.038
1.104,286.748,12.846
1.201,285.735,12.359
1.162,288.005,9.964
1.723,283.089,5.571
1.278,281.735,7.85
1.549,286.169,7.775
1.394,286.709,10.806
1.278,286.002,7.043
1.452,285.9,13.747
1.394,288.384,11.944
1.278,285.393,7.02
1.046,284.183,6.617
1.22,281.055,8.212
1.104,282.469,8.409
1.336,284.166,8.76
1.22,284.077,7.674
1.356,282.648,10.229
1.239,283.892,10.212
1.588,284.28,9.581
1.201,285.289,23.376
1.22,284.583,9.441
1.336,283.295,13.214
1.336,284.126,19.563
1.142,284.652,21.08
1.375,283.478,15.865
1.491,284.836,13.09
1.239,284.988,16.664
1.336,286.131,17.228
1.336,288.094,15.443
1.317,288.316,18.469
1.433,286.733,21.423
1.317,285.788,20.441
1.278,284.89,9.989
1.375,281.759,6.838
1.53,280.415,10.209
1.317,280.46,17.419
1.239,279.92,19.154
1.569,279.425,23.841
1.201,280.459,29.359
1.317,279.996,23.844
1.723,281.036,13.472
1.336,282.152,16.146
1.491,282.026,30.236
1.336,286.184,14.793
1.414,285.385,5.653
1.51,280.834,9.459
1.278,281.835,8.618
1.22,285.253,10.688
1.53,286.131,8.945
1.336,285.273,10.44
1.394,284.126,10.289
1.472,280.754,20.72
1.607,281.716,13.429
1.278,281.292,9.302
1.22,284.226,6.413
1.375,281.27,7.596
1.723,278.822,7.024
1.375,282.96,6.027
1.123,280.12,5.47
1.433,275.895,11.058
1.356,279.823,5.511
1.472,278.741,7.359
1.317,276.201,19.496
1.685,278.28,22.435
1.375,279.427,14.212
1.472,277.246,8.376
1.917,278.812,11.884
1.723,280.054,14.014
1.375,281.338,9.725
1.859,279.42,6.508
1.297,275.096,6.989
1.356,278.516,7.09
1.53,278.856,8.223
1.743,277.405,10.896
1.665,279.718,10.848
1.336,281.841,7.669
1.53,279.269,8.733
1.491,283.619,8.109
1.588,279.01,8.309
1.646,280.288,6.848
1.685,278.267,4.806
1.82,281.438,7.912
1.549,283.345,7.571
1.607,283.128,7.924
1.743,279.277,5.842
1.491,277.885,8.02
1.491,277.686,7.978
2.014,276.881,5.5
1.878,275.101,12.772
1.356,275.347,26.92
1.627,274.335,28.212
1.53,272.671,24.854
1.627,274.312,19.732
1.84,272.52,21.166
1.685,274.348,19.875
1.84,275.834,20.254
1.452,276.357,20.842
1.743,274.105,22.572
1.588,273.396,21.529
1.743,274.67,18.067
1.685,273.703,13.641
1.898,279.62,14.012
2.014,276.459,9.668
1.762,278.645,10.973
1.936,282.814,6.951
2.111,282.954,5.952
1.665,277.715,7.784
2.091,277.145,9.053
1.995,278.836,12.877
1.022,279.167,13.945
1.703,282.092,10.017
1.771,281.484,12.786
1.816,281.621,11.507
1.907,278.754,11.217
1.498,282.137,6.799
1.725,280.989,7.733
1.453,284.401,8.775
1.657,280.344,9.294
1.635,281.789,14.013
1.498,283.184,14.975
1.771,283.044,5.864
1.339,279.058,11.162
1.294,280.419,12.423
1.112,281.653,13.303
1.476,280.171,10.712
1.839,281.93,9.586
1.249,282.125,12.984
1.453,281.362,9.663
1.226,277.21,10.27
1.657,275.944,6.609
1.385,273.944,9.888
1.884,275.488,7.82
1.385,274.289,13.549
1.271,277.655,10.948
1.476,279.029,12.745
1.453,280.627,10.998
1.725,280.642,19.619
1.521,278.237,16.774
1.771,280.753,13.052
1.498,282.195,18.915
1.362,280.247,18.267
1.521,275.256,22.299
1.703,273.336,25.833
1.657,275.059,21.685
1.816,272.218,19.87
1.748,272.502,18.375
1.975,273.798,13.799
1.884,273.682,12.245
1.794,277.488,10.615
1.771,279.766,11.317
1.884,279.888,9.506
1.703,279.254,15.93
1.771,279.252,15.696
1.589,280.029,16.899
1.612,280.437,20.766
1.566,279.277,24.288
1.566,278.507,14.759
2.202,280.197,23.544
1.816,282.109,15.561
1.748,280.803,13.271
1.498,280.783,10.306
1.771,281.633,17.01
1.771,281.319,12.173
1.476,280.358,12.598
1.748,278.999,13.395
1.748,280.582,9.763
2.157,281.685,12.242
1.612,278.773,13.76
1.498,278.756,13.385
1.703,279.433,9.97
1.703,279.668,9.596
1.476,280.784,9.304
1.68,282.143,8.897
1.68,279.895,16.873
1.68,280.186,18.829
1.158,280.471,16.689
1.476,282.263,14.403
1.612,283.05,17.723
1.453,283.253,18.65
1.453,280.323,15.711
1.09,281.441,17.989
